S.NO,Type,Constituency,Winner,Winner Party,Winner Votes,Votes %,Runner,Runner Up Party,Runner Votes,Runner Votes %,Margin,Total Electors,Total Votes,Poll%
140,GEN,Tiruchirappalli (West),Nehru.K.N,DMK,92049,51.3,Manoharan.R,ADMK,63634,35.47,28415,240767,162656,67.60%
141,GEN,Tiruchirappalli (East),Natarajan .N.,ADMK,79938,47.87,Jerome Arockiaraj .G.,INC,58044,34.76,21894,267527,180292,67.40%
142,GEN,Thiruverumbur,Anbil Mahesh Poyyamozhi,DMK,85950,46.98,Kalaichelvan.D,ADMK,69255,37.85,16695,201236,164601,81.80%
143,GEN,Lalgudi,Soundarapandian A,DMK,77946,46.8,Vijayamurthy M,ADMK,74109,44.5,3837,217178,177694,81.80%
144,GEN,Manachanallur,Parameswari. M,ADMK,83083,46.17,Ganesan. S,DMK,75561,41.99,7522,211512,168424,79.60%
145,SC,Musiri,Selvarasu M,ADMK,89398,52.31,Vijaya Babu S,INC,57311,33.53,32087,210511,166888,79.30%
146,SC,Thuraiyur,Stalinkumar .S,DMK,81444,48.1,Maivizhi .A,ADMK,73376,43.33,8068,275932,220233,79.80%
147,GEN,Perambalur,R.Thamizhselvan,ADMK,101073,45.27,P.Sivakami,DMK,94220,42.2,6853,254896,202020,79.30%
148,GEN,Kunnam,Ramachandran.R.T,ADMK,78218,38.15,Durairaj.T,DMK,59422,28.98,18796,247475,209182,84.50%
149,GEN,Ariyalur,Rajendran. S,ADMK,88523,41.94,Sivasankar. S.S,DMK,86480,40.97,2043,250259,202088,80.80%
150,SC,Jayankondam,Ramajeyalingam.J.K.N,ADMK,75672,37.09,Guru @ Gurunathan.J,PMK,52738,25.85,22934,206909,158219,76.50%
151,GEN,Tittakudi,Ganesan V,DMK,65139,40.67,Ayyasamy P,ADMK,62927,39.29,2212,232531,182870,78.60%
152,GEN,Vriddhachalam,Kalaiselvan V T,ADMK,72611,39.22,Govindasamy P,DMK,58834,31.78,13777,200260,157531,78.70%
153,GEN,Neyveli,Saba. Rajendran,DMK,54299,34.1,Rajsekar R,ADMK,36508,22.93,17791,226590,183477,81.00%
