S.no,Type,Constituency,Winner,Winner Party,Winner Votes,Winner Vote %,Runner Candidate,Runner Party,Runner Votes,Runner  Votes %,Margin,Total Electors,Total Votes,Poll%
18,GEN,Harbour,Pala. Karuppiah,AIADMK,53920,55.89,Altaf Hussain,DMK,33603,34.83,20317,152784,96475,63.10%
19,GEN,Chepauk-Thiruvallikeni,J. Anbazhagan,DMK,64191,49.44,Thameemun Ansari. M,MNMK,54988,42.35,9203,187297,129836,69.30%
20,GEN,Thousand Lights,B. Valarmathi,AIADMK,67522,50.55,Hasan Mohamed Jinnah,DMK,59930,44.87,7592,199978,133567,66.80%
21,GEN,Anna Nagar,S. Gokula Indira,AIADMK,88954,58.67,Arivazhagan V. K.,INC,52364,34.54,36590,226816,151608,66.80%
22,GEN,Virugambakkam,B. Parthasarathy,DMDK,71524,49.65,Thanasekaran K,DMK,57430,39.86,14094,214871,144069,67.00%
23,GEN,Saidapet,G. Senthamizhan,AIADMK,79856,51.78,Msh Kumaar. M,DMK,67785,43.95,12071,219001,154225,70.40%
24,GEN,Thiyagarayanagar,V. P. Kalairajan,AIADMK,75883,58.48,Chellakumar A,INC,43421,33.46,32462,194890,129751,66.60%
25,GEN,Mylapore,R. Rajalakshmi (politician),AIADMK,80063,56.03,Thangkabalu K V,INC,50859,35.6,29204,215336,142882,66.40%
26,GEN,Velachery,M. K. Ashok,AIADMK,82145,53.91,Jayaraman M,PMK,50425,33.1,31720,227204,152364,67.10%
27,GEN,Shozhinganallur,K. P. Kandan,AIADMK,145385,60.43,S. S. Balaji,VCK,78413,32.59,66972,357640,240583,67.30%
28,GEN,Alandur,Panruti S. Ramachandran,DMDK,76537,45.52,Dr. K. Ghayathri Devi,INC,70783,42.1,5754,239936,168135,70.10%
29,SC,Sriperumbudur,R. Perumal,AIADMK,101751,59.07,D. Yasodha,INC,60819,35.31,40392,210438,172263,81.90%
30,GEN,Pallavaram,P. Dhansingh,AIADMK,105631,52.7,T. M. Anbarasan,DMK,88257,44.03,17374,277644,200455,72.20%
31,GEN,Tambaram,T. K. M. Chinnayya,AIADMK,91702,51.45,S. R. Raja,DMK,77718,43.61,13984,254995,178230,69.90%
32,GEN,Chengalpattu,D. Murugesan,DMDK,83297,44.58,V. G. Rangasamy,PMK,83006,44.42,291,252356,186867,74.00%
33,GEN,Thiruporur,K. Manoharan,AIADMK,84169,53.06,K. Arumugam,PMK,65881,41.53,18288,192000,158639,82.60%
34,SC,Cheyyur,V. S. Raji,AIADMK,78307,55.59,D. Parventhan,VCK,51723,36.72,26584,173908,140871,81.00%
35,SC,Maduranthakam,S. Kanitha Sampath,AIADMK,79256,53.64,Dr. K. Jayakumar,INC,60762,41.13,18494,180482,147744,81.90%
36,GEN,Uthiramerur,P. Ganesan,AIADMK,86912,51.75,Ponkumar,DMK,73146,43.55,13766,194241,167946,86.50%
