S.no,Type,Constituency,Winner,Winner Party,Winner Votes,Winner %,Runner,Runner Party,Runner Votes,Runner %,Margin,Total Electors,Total Votes,Poll%
195,GEN,Karaikudi,Chidambaram. C. T.,DMK,46541,51.78,Kaliappan. P.,AIADMK,42648,47.45,3893,133753,90895,68.00%
196,GEN,Tiruvadanai,Anguchamy. S.,AIADMK,34392,37.96,Ramanathan Thevar. A. T. M.,INC,32406,35.77,1986,136737,91454,66.90%
197,GEN,Ilayangudi,Sivasamy. S.,CPI,34437,46.51,Malaikkannan. V.,DMK,34381,46.43,56,109607,74799,68.20%
198,GEN,Sivaganga,O. Subramanian,INC,41327,56.94,Natarajasamy. N.,IND,29875,41.16,11452,116688,73360,62.90%
199,SC,Manamadurai,K. Paramalai,IND,38435,50.52,Krishnan. U.,INC,36824,48.4,1611,118672,76938,64.80%
200,SC,Paramakudi,R. Thavasi,AIADMK,43710,54.22,Elamaran. A.,DMK,34876,43.26,8834,123848,81515,65.80%
201,GEN,Ramanathapuram,T. Ramasamy,AIADMK,46987,57.63,Zeenath Sheriffdeen,INC,32755,40.18,14232,121008,82423,68.10%
202,GEN,Kadaladi,S. Sathiamoorthy,AIADMK,40246,51.41,Abdul Cadir. T. S. O.,IND,37010,47.28,3236,138693,79329,57.20%
203,GEN,Mudukulathur,C. Dinesh Thevar,IND,42711,51.43,Balakrishnan. S.,INC,37175,44.77,5536,134626,84084,62.50%
204,GEN,Aruppukottai,M. Pitchai,AIADMK,42589,53.67,V. Thangapandian,DMK,30904,38.95,11685,116985,80387,68.70%
205,GEN,Sattur,K. K. S. S. R. Ramachandran,AIADMK,54720,55.1,Saudi Sundara Barati. S.,DMK,43795,44.1,10925,136299,100402,73.70%
206,GEN,Virudhunagar,M. Sundararajan,AIADMK,40285,48.86,P. Seenivasan,DMK,29665,35.98,10620,122637,83482,68.10%
207,GEN,Sivakasi,V. Balakrishnan,AIADMK,53081,61.32,S. Alagu Thevar,DMK,27348,31.59,25733,135976,87398,64.30%
208,GEN,Srivilliputhur,R. Thamaraikani,AIADMK,46882,52.36,Karruppiah Thevar P.,INC,29216,32.63,17666,129712,90874,70.10%
209,SC,Rajapalayam,P. Mokkian,IND,38339,44.07,Pottu Pottan K.,INC,29758,34.2,8581,131952,87786,66.50%
210,GEN,Vilathikulam,Perumal R. K.,AIADMK,40728,53.75,Kumaragurubara Ramanathan S.,DMK,34088,44.99,6640,116745,76930,65.90%
211,SC,Ottapidaram,Appadurai. M.,CPI,33071,52.11,Veluchami. O. S.,INC,30393,47.89,2678,109571,64720,59.10%
212,GEN,Kovilpatti,Alagarasamy. S.,CPI,39442,51.37,Jeyalakshmi. V.,INC,30792,40.11,8650,113218,77599,68.50%
213,SC,Sankarankoil,P. Durairaj,AIADMK,31818,48.87,Madan. K.,DMK,29436,45.21,2382,121949,66128,54.20%
214,SC,Vasudevanallur,R. Krishnan,CPI(M),33107,50.51,Eswaran. R.,INC,29921,45.65,3186,116791,66641,57.10%
215,GEN,Kadayanallur,A. Shahul Hameed,IND,38225,50.71,Gani A. M. Alias Mohideen Pitchai. A.,AIADMK,36354,48.23,1871,110307,76596,69.40%
216,GEN,Tenkasi,A. K. Sattanatha Karayalar,AIADMK,36638,49.88,Ramanan Alias Venkataramanan. T. R.,INC,35963,48.96,675,114840,74565,64.90%
217,GEN,Alangulam,Navaneetha Krishna Pandian. R.,GKC,41271,53.88,Dorai Singh. E.,DMK,34587,45.15,6684,115519,77737,67.30%
218,GEN,Tirunelveli,V. R. Nedunchezhiyan,AIADMK,48338,57.96,Rajathi Kunchithapatham,INC,34142,40.94,14196,120570,84151,69.80%
219,GEN,Palayamkottai,V. Karuppasamy Pandian,AIADMK,45049,57.96,Seetharaman. Suba,DMK,32680,42.04,12369,116635,78504,67.30%
220,GEN,Cheranmahadevi,P. H. Pandian,AIADMK,42793,57.62,Ratnasabhapathy. V.,INC,30683,41.31,12110,105348,75059,71.20%
221,GEN,Ambasamudram,Easwarmoorthy (Soranam),CPI(M),31262,47.39,Sangumuthu Thevarm S.,INC,26975,40.89,4287,104484,66914,64.00%
222,GEN,Nanguneri,M. John Vincent,AIADMK,36725,52.18,Thangaraj. J.,INC,32676,46.43,4049,119072,71209,59.80%
223,GEN,Radhapuram,E. Muthuramalingam,GKC,38044,53.95,Nellai Nedumaran,DMK,31408,44.54,6636,116959,71382,61.00%
224,GEN,Sattangulam,Ramasamy. S. N.,GKC,24700,41.24,Dhanuskodi Athithan. R.,INC,23688,39.55,1012,123284,60457,49.00%
225,GEN,Tiruchendur,Kesava Athithan. S.,AIADMK,35499,49.49,Samsudin Alias Kathiravan,DMK,34294,47.81,1205,132757,72248,54.40%
226,GEN,Srivaikuntam,Ramasubramanian. E.,AIADMK,26502,38.99,Shanmugam. V.,INC,24404,35.91,2098,111712,68823,61.60%
227,GEN,Thoothukkudi,Rajendran. S. N.,AIADMK,54171,57.61,Krishnan. R.,DMK,39365,41.86,14806,142776,94722,66.30%
228,GEN,Kanniyakumari,S. Muthukrishnan,AIADMK,35613,47.58,Mathevan Pillai. A.,INC,28515,38.1,7098,112972,75475,66.80%
229,GEN,Nagercoil,Vincent. M.,AIADMK,39328,54.76,Thiraviam. A.,DMK,30045,41.83,9283,130424,72284,55.40%
230,GEN,Colachel,S. Retnaraj,DMK,42949,67.03,Sanotsham. M.,AIADMK,21127,32.97,21822,115330,64720,56.10%
231,GEN,Padmanabhapuram,P. Mohammad Ismail,JP,19758,37.27,Lawrence. K.,GKC,17434,32.88,2324,101364,53447,52.70%
232,GEN,Thiruvattar,Hemachandran J.,CPI(M),29463,47.71,Thobias P.,INC,17099,27.69,12364,101139,62255,61.60%
233,GEN,Vilavancode,Moni D.,CPI(M),34170,53.66,Davis Raj P.,DMK,25348,39.81,8822,122522,64355,52.50%
234,GEN,Killiyoor,P. Vijayaraghavan,JP,31521,54.28,Russel Raj C.,DMK,16691,28.74,14830,97360,58596,60.20%
