S.no,Type,Constituency,Winner,Winner Party,Winner Votes,Winner %,Runner,Runner Party,Runner Votes,Runner %,Margin,Total Electors,Total Votes,Poll%
153,SC,Krishnarayapuram (SC),P. Soundarapandian,AIADMK,22561,32.59,P. N. Thangavelraj,INC,21967,31.73,594,120967,70188,58.00%
154,GEN,Marungapuri,K. Karunanidhi Muthiah,INC,27093,38.58,A. P. Raju,DMK,16894,24.06,10199,113252,71151,62.80%
155,GEN,Kulithalai,P. E. Srinivasa Reddiar,INC,27043,33.59,S. Rasu,AIADMK,19396,24.09,7647,119673,81491,68.10%
156,GEN,Thottiam,K. P. Kathamuthu,AIADMK,25638,31.85,K. M. Shanmugasundaram,INC,24648,30.62,990,117119,81711,69.80%
157,ST,Uppiliapuram (ST),R. Periasamy,INC,31642,37.08,M. Atchayagopal,AIADMK,25936,30.4,5706,136600,86464,63.30%
158,GEN,Musiri,P. Kothandaraman alias Musiri Putthan,AIADMK,34569,39.27,V. S. Periasamy alias VSP,DMK,20567,23.36,14002,132057,89373,67.70%
159,GEN,Lalgudi,K. N. Shanmugam,AIADMK,33322,36.06,R. Gandhirajan,DMK,31789,34.4,1533,129589,93712,72.30%
160,SC,Perambalur (SC),S. V. Ramasamy,AIADMK,37400,56.53,K. S. Velusamy,DMK,16459,24.88,20941,119195,67477,56.60%
161,SC,Varahur (SC),N. Perumal,AIADMK,36023,52.39,K. Kanagasabai,DMK,23919,34.79,12104,112363,69649,62.00%
162,GEN,Ariyalur,T. Arumugam,DMK,31380,39.73,Karuppiah alias Asokan,AIADMK,30125,38.14,1255,107638,80457,74.70%
163,GEN,Andimadam,T. Subramanian,AIADMK,36885,56.45,S. Sivasubramaniam,DMK,22056,33.76,14829,94718,66366,70.10%
164,GEN,Jayankondam,V. Krunamurthy,AIADMK,35540,44.75,K. C. Ganesan,DMK,23828,30.01,11712,109695,80459,73.30%
165,GEN,Srirangam,R. Soundararajan,AIADMK,26200,31.31,M. Dharmalingam,DMK,21135,25.26,5065,124560,84697,68.00%
166,GEN,Tiruchy – I,C. Manickam,AIADMK,21908,33.29,A. V. Krishnamurthy,DMK,19597,29.78,2311,116787,66313,56.80%
167,GEN,Tiruchy – II,K. Soundararajan,AIADMK,25405,36.37,M. S. Venkatachalam,DMK,17523,25.09,7882,124230,70413,56.70%
168,GEN,Thiruverumbur,K. S. Murugesan,DMK,24594,32.06,V. Swaminathan,INC,23742,30.95,852,121291,77390,63.80%
169,SC,Sirkazhi (SC),K. Subravelu,DMK,34281,43.38,K. Balasubramaniam,AIADMK,29405,37.21,4876,114299,80121,70.10%
170,GEN,Poompuhar,S. Ganesan,DMK,34105,44.95,G. Bharathi Mohan,CPI(M),24508,32.3,9597,107361,77094,71.80%
171,GEN,Mayiladuthurai,N. Kittappa,DMK,29829,39.34,M. M. S. Abdul Hassan,INC,21237,28.01,8592,106786,76848,72.00%
172,GEN,Kuttalam,R. Rajamaniam,DMK,30819,39.92,G. Veeraiyan,CPI(M),22556,29.22,8263,110107,78460,71.30%
173,SC,Nannilam (SC),M. Manimaran,DMK,33636,41.75,P. Jayaraj,INC,24527,30.44,9109,112720,81536,72.30%
174,SC,Tiruvarur (SC),M. Karunanidhi Thazhai,DMK,38528,44.27,P. S. Dhanuskody,CPI(M),24274,27.89,14254,119219,87897,73.70%
175,GEN,Nagapattinam,R. Umanath,CPI(M),31519,39.65,A. Ambalavanan,DMK,30809,38.76,710,111891,80275,71.70%
176,GEN,Vedaranyam,M. Meenakshisundaram,DMK,29601,35.4,S. Devarajan,INC,28009,33.5,1592,101857,84427,82.90%
177,SC,Thiruthuraipoondi (SC),P. Uthirapathy,CPI,43208,45.93,N. Kuppusamy,DMK,24934,26.5,18274,121892,94971,77.90%
178,GEN,Mannargudi,M. Ambigapathy,CPI,34298,37.89,K. Balakrishnan,DMK,26881,29.7,7417,119893,91459,76.30%
179,GEN,Pattukkottai,A. R. Marimuthu,INC,25993,30.13,V. R. K. Palaniappan,AIADMK,25082,29.08,911,116450,87232,74.90%
180,GEN,Peravurani,M. R. Govindan,AIADMK,32625,38.8,M. Masilamani,CPI,24675,29.34,7950,110000,84884,77.20%
181,GEN,Orathanad,T. M. Thailappan,DMK,31866,35.5,N. Sivagnanam,INC,26156,29.14,5710,116133,90829,78.20%
182,GEN,Thiruvonam,Durai Govindarajan,AIADMK,23779,29.06,Pulavar. T. Tholappan,DMK,21566,26.36,2213,108939,83055,76.20%
183,GEN,Thanjavur,S. Natarajan,DMK,33418,41.72,R. Saminathan,AIADMK,23662,29.54,9756,126647,81043,64.00%
184,GEN,Tiruvaiyaru,G. Elangovan,DMK,28500,36.96,P. C. Palaniyandi,AIADMK,23197,30.08,5303,108342,78193,72.20%
185,GEN,Papanasam,R. V. Soundararajan,INC,24904,33.4,S. Sachidanandam,DMK,23268,31.21,1636,105384,75771,71.90%
186,SC,Valangiman (SC),A. Chellappa,DMK,24270,36.01,P. Srinivasan,AIADMK,20897,31,3373,96692,68417,70.80%
187,GEN,Kumbakonam,S. R. Eradha,AIADMK,26432,32.52,O. Vadivelu Mazhavarayar,INC,23450,28.85,2982,118847,82127,69.10%
188,GEN,Thiruvidaimarudur,S. Ramalingam,DMK,26304,32.59,K. Govindarajulu,INC,24489,30.34,1815,114391,81984,71.70%
189,GEN,Tirumayam,N. Sundararaj,INC,20694,25.92,P. Ponnambalam,AIADMK,20637,25.85,57,118468,81030,68.40%
190,SC,Kolathur (SC),V. Chinniah,INC,27071,36.55,T. Marimuthu,AIADMK,22853,30.86,4218,120684,74965,62.10%
