Sl No.,Constituency Name,Category,Winner ,Party, Winner Vote,Runner,Party,Runner Vote,Margin,Total Electors,Total Votes,Poll%
68,Ankamali,GEN,M. V. Mani,KEC,53267,M. C. Josephine,CPM,47767,5500,123774,106548,86.10%
69,Vadakkekara,GEN,S. Sarma,CPM,43726,M. I. Shanavas,INC,43324,402,106217,92941,87.50%
70,Parur,GEN,N. Sivan Pillai,CPI,39495,A. C. Jose,INC,37129,2366,95972,81647,85.10%
71,Narakkal,(SC),K.K. Madhavan,ICS(SCS),43051,Malippuram Bhaskaran,INC,39083,3968,104860,86283,82.30%
72,Ernakulam,GEN,M.K. Sanoo,IND,42904,A.L. Jacob,INC,32872,10032,123981,95907,77.40%
73,Mattancherry,GEN,M.J. Zakaria,MUL,25906,T.M. Mohamed,CPM,24033,1873,88465,67100,75.80%
74,Palluruthy,GEN,"T.P, Peethambaran Master",ICS(SCS),49549,M.K. Raghavan,INC,46340,3209,126106,104382,82.80%
75,Thrippunithura,GEN,V. Viswanatha Menon,CPM,51965,S.N. Nair,IND,44452,7513,128565,105878,82.40%
76,Alwaye,GEN,K. Mohamadali,INC,52159,T.O. Kather Pallai,IND,46035,6124,137861,113076,82.00%
77,Perumbavoor,GEN,Thankachan P.P.,INC,47094,Raman Kartha,JNP,39989,7105,111065,95437,85.90%
78,Kunnathunad,GEN,T. H. Musthaffa,INC,49852,V. B. Cherian,CPM,44075,5777,111678,98844,88.50%
79,Piravom,GEN,Gopi Kottamunikkal,CPM,41614,Benny Behanan,INC,25314,16480,110769,94650,85.40%
80,Muvattupuzha,GEN,A. V. Issac,IND,43970,V. V. Joseph,KEC,40514,3456,112650,93413,82.90%
81,Kothamangalam,GEN,T. M. Jacob,IND,46847,T. M. Paily,IND,44715,2132,115346,97481,84.50%
82,Thodupuzha,GEN,P. J. Joseph,KEC,49535,M. C. Mathew,CPM,39283,10252,125041,101687,81.30%
83,Devicolam,(SC),Sundaram Manickam,CPM,43945,Ganapathy,IND,40040,3905,119052,88731,74.50%
84,Idukki,GEN,Rosamma Chacko,INC,34330,P. P. Sulaiman Rawther,IND,32760,1570,119683,94733,79.20%
85,Udumbanchola,GEN,Mathew Stephen,IND,54127,Jinadevan M.,CPM,49187,4940,143591,109266,76.10%
86,Peermade,GEN,K. K. Thomas,INC,41517,C. A. Kurian,CPI,39426,2091,112533,87078,77.40%
87,Kanjirappally,GEN,K. J. Thomas,CPM,36777,George J. Mathew,IND,31894,4883,110103,91352,83.00%
88,Vazhoor,GEN,Kanam Rajendran,CPI,41611,P. C. Thomas,IND,36192,5419,97071,82016,84.50%
89,Changanacherry,GEN,C. F. Thomas,IND,47977,V. R. Bhaskaran,CPM,37362,10615,109659,91323,83.30%
90,Kottayam,GEN,T. K. Ramakrishanan,CPM,55422,Thiruvanchoor Radhakrishnan,INC,45896,9526,119323,103147,86.40%
91,Ettumanoor,GEN,George Joseph Padipara,IND,41098,T. Raman Bhattathiripad,IND,38565,2533,109396,93145,85.10%
92,Puthuppally,GEN,Oommen Chandy,INC,49170,V. N. Vasavan,CPM,40006,9164,114359,97305,85.10%
93,Poonjar,GEN,N. M. Joseph,JNP,37604,P. C. George,KEC,36528,1076,95944,79937,83.30%
94,Palai,GEN,K. M. Mani,IND,46483,K. S. Sebastian,ICS(SCS),35938,10545,104019,85006,81.70%
95,Kaduthuruthy,GEN,P. C. Thomas,IND,44560,P. M. Mathew,IND,41364,3196,105574,87988,83.30%
96,Vaikom,(SC),P. K. Raghavan,CPI,44985,P. K. Gopi,INC,44609,376,108660,93621,86.20%
