S.no,Constituency,Type,Winner,Winner Party,Winner Votes,Runner ,Runner Party,Runner Votes,Margin,Total Electors,Total Votes,Poll%
118,Kunnathur (SC),GEN,Kovoor Kunjumon,Ind.,69436,Ullas Kovoor,RSP,66646,2790,184892,150465,81.40%
119,Kottarakkara,GEN,K. N. Balagopal,CPI(M),68770,Resmi R.,INC,57956,10814,164415,134583,81.90%
120,Pathanapuram,GEN,K. B. Ganesh Kumar,KC(B),67276,Jyothikumar Chamakkala,INC,52940,14336,164415,134583,81.90%
121,Punalur,SC,P. S. Supal,CPI,80428,Abdurahiman Randathani,IUML,43371,37057,187842,152595,81.20%
122,Chadayamangalam,SC,J. Chinchu Rani,CPI,67252,M. M. Naseer,INC,53574,13678,187842,152595,81.20%
123,Kundara,GEN,P. C. Vishnunath,INC,76405,J. Mercykutty Amma,CPI(M),71882,4523,183869,154272,83.90%
124,Kollam,GEN,Mukesh,CPI(M),58524,Bindhu Krishna,INC,56452,2072,183869,154272,83.90%
125,Eravipuram,GEN,M. Noushad,CPI(M),71573,Babu Divakaran,RSP,43452,28121,195371,145752,74.60%
126,Chathannoor,GEN,G. S. Jayalal,CPI,59296,B. B. Gopakumar,BJP,42090,17206,195371,145752,74.60%
127,Varkala,GEN,V. Joy,CPI(M),68816,B. R. M. Shefeer,INC,50995,17821,205549,166790,81.10%
128,Attingal (SC),GEN,O. S. Ambika,CPI(M),69898,P. Sudheer,BJP,38262,31636,205549,166790,81.10%
129,Chirayinkeezhu (SC),GEN,V. Sasi,CPI,62634,B. S. Anoop,INC,48617,14017,200294,169019,84.40%
130,Nedumangad,GEN,G. R. Anil,CPI,72742,P. S. Prasanth,INC,49433,23309,200294,169019,84.40%
131,Vamanapuram,GEN,D. K. Murali,CPI(M),73137,Anad Jayan,INC,62895,10242,191115,155344,81.30%
132,Kazhakootam,GEN,Kadakampally Surendran,CPI(M),63690,Sobha Surendran,BJP,40193,23497,191115,155344,81.30%
133,Vattiyoorkavu,GEN,V. K. Prasanth,CPI(M),61111,V.V. Rajesh,BJP,39596,21515,169095,128514,76.00%
134,Thiruvananthapuram,GEN,Antony Raju,JKC,48748,V. S. Sivakumar,INC,41659,7089,169095,128514,76.00%
135,Nemom,SC,V. Sivankutty,CPI(M),55837,Kummanam Rajasekharan,BJP,51888,3949,197011,152724,77.50%
136,Aruvikkara,SC,G. Stephen,CPI(M),66776,K. S. Sabarinathan,INC,61730,5046,197011,152724,77.50%
137,Parassala,GEN,C. K. Hareendran,CPI(M),78548,Sajitha Ressal,INC,52720,25828,161184,135617,84.10%
138,Kattakkada,GEN,I. B. Sathish,CPI(M),66293,Malayinkeezhu Venugopal,INC,43062,23231,161184,135617,84.10%
139,Kovalam,GEN,M. Vincent,INC,74868,Neelalohithadasan Nadar,JD(S),63306,11562,187887,154589,82.30%
140,Neyyattinkara,GEN,K. Ansalan,CPI(M),65497,R. Selvaraj,INC,51235,14262,187887,154589,82.30%
