Sl No.,Constituency Name,Type,Winner ,Party,Winner Vote,Runner ,Party,Runner Vote,Margin,Total Electors,Total Votes,Poll%
75,Thrippunithura,GEN,K.Babu,INC,69256,Gopi Kottamurikkal,CPI(M),54483,14773,188066,137903,73.30%
76,Alwaye,GEN,K.Mohammedali,INC,57902,Sarojini Balanandhan,CPI(M),40480,17422,183643,126657,69.00%
77,Perumbavoor,GEN,P.P.Thankachan,INC,51266,Raman Kartha,JD,46483,4783,146172,108338,74.10%
78,Kunnathunad,GEN,M.P.Vargheese,CPI(M),50034,T.H.Musthaffa,INC,49974,60,149749,116460,77.80%
79,Piravom,GEN,T.M.Jacob,KEC(J),51873,C.Poulose,IND,44165,7708,140906,110465,78.40%
80,Muvattupuzha,GEN,Johny Nelloor,KEC(J),47841,P.M.Thomas,IND,38145,9696,142720,102493,71.80%
81,Kothamangalam,GEN,V.J.Poulose,INC,49874,T.M.Meethian,CPI(M),43783,6091,148025,109197,73.80%
82,Thodupuzha,GEN,P.J.Joseph,KEC,63414,P.T.Thomas,INC,59290,4124,163398,129441,79.20%
83,Devicolam,(SC),A.K.Moni,INC,51733,S.Sundaramanickom,CPI(M),48497,3236,155580,106191,68.30%
84,Idukki,GEN,P.P. Sulaiman Rawther,JD,52443,Joy Vettikuzhy,KEC(M),46030,6413,158423,108952,68.80%
85,Udumbanchola,GEN,E.M.Augusthy,INC,57266,M.M.Moni,CPI(M),52599,4667,187830,124812,66.40%
86,Peermade,GEN,C.A.Kurian,CPI,40842,Mathew Stephen,KEC(J),38435,2407,132492,89523,67.60%
87,Kanjirappally,GEN,George J.Mathew,INC,47535,K.J.Thomas,CPI(M),40609,6926,140920,101918,72.30%
88,Vazhoor,GEN,K.Narayana Kurup,KEC(M),40503,Kanam Rajendran,CPI,37987,2516,121849,85754,70.40%
89,Changanacherry,GEN,C.F.Thomas,KEC(M),50784,P.Ravindranath,CPI(M),43182,7602,144214,104241,72.30%
90,Kottayam,GEN,T.K.Ramakrishnan,CPI(M),52609,Mohan Sankar,INC,45545,7064,146897,106360,72.40%
91,Ettumanoor,GEN,Thomas Chazhikadan,KEC(M),53632,Vaikom Viswan,CPI(M),39759,13873,140715,101783,72.30%
92,Puthuppally,GEN,Oommen Chandy,INC,54147,Reji Zachariah,CPI(M),43992,10155,146041,108014,74.00%
93,Poonjar,GEN,P.C.George,KEC,48834,Joy Abraham,KEC(M),38698,10136,122896,92234,75.10%
94,Palai,GEN,K.M.Mani,KEC(M),52550,C.K.Jeevan,IND,28760,23790,128479,87379,68.00%
95,Kaduthuruthy,GEN,Mons Joseph,KEC,39131,P.M.Mathew,KEC(J),23965,15166,132503,92627,69.90%
96,Vaikom,(SC),M.K.Kesavan,CPI,52262,K.K. Balakrishnan,INC,43024,9238,136115,103135,75.80%
97,Aroor,GEN,K.R.Gowri Amma,JPSS,61972,B.Vinod,CPI(M),45439,16533,141555,116406,82.20%
98,Sherthalai,GEN,A.K.Antony,INC,56691,C.K.Chandrappan,CPI,48306,8385,128441,110505,86.00%
99,Mararikulam,GEN,P.J.Francis,INC,68302,V.S.Achuthanandan,CPI(M),66337,1965,168949,140736,83.30%
100,Alleppey,GEN,K.C.Venugopal,INC,45104,P.S. Somasekharan,CPI,37568,7536,126537,90104,71.20%
101,Ambalapuzha,GEN,Suseela Gopalan,CPI(M),47968,Devadath G.Purakkad,INC,45710,2258,133155,100204,75.30%
102,Kuttanad,GEN,K.C.Joseph,KEC,44532,J.Joseph,INC,40447,4085,122895,90172,73.40%
103,Haripad,GEN,A.V. Thamarakshan,RSP,54055,N.Mohan Kumar,INC,46837,7218,151681,110423,72.80%
104,Kayamkulam,GEN,G.Sudhakaran,CPI(M),47776,Thachadi Prabhakaran,INC,45129,2647,137065,99862,72.90%
105,Thiruvalla,GEN,Mamman Mathai,KEC(M),39606,Oommen Thalavady,JD,33665,5941,116075,82111,70.70%
106,Kallooppara,GEN,T.S.John,KEC,32112,Joseph M.Puthusseri,KEC(M),31940,172,110536,76739,69.40%
107,AranIUMLa,GEN,Kadammanitta Ramakrishnan,IND,34657,M.V.Raghavan,CMPKSC,31970,2687,110948,79272,71.40%
108,Chengannur,GEN,Sobhana George,INC,37242,Mammen Iype,ICS,34140,3102,121066,87393,72.20%
109,Mavelikara,GEN,M.Murali,INC,51784,P.N. Viswanathan,CPI(M),42053,9731,137248,100056,72.90%
110,Pandalam,(SC),P.K.Kumaran,CPI(M),50056,Pandalam Bharathan,JPSS,44896,5160,148431,108257,72.90%
111,Ranni,GEN,Raju Abraham,CPI(M),40932,Peeilipose Thomas,INC,37503,3429,120935,87955,72.70%
112,Pathanamthitta,GEN,K.K.Nair,INC,40215,D.K.John,KEC,34408,5807,118053,83178,70.50%
113,Konni,GEN,Adoor Prakash,INC,43474,A.Padmakumar,CPI(M),42668,806,121630,93415,76.80%
114,Pathanapuram,GEN,K.Prakash Babu,CPI,49023,Thomas Kuthiravattam,KEC(B),44535,4488,144185,101148,70.20%
115,Punalur,GEN,P.K.Sreenivasan,CPI,55382,Punalur Madhu,INC,48684,6698,159320,111064,69.70%
116,Chadayamangalam,GEN,R. Latha Devi,CPI,42550,Prayar Gopalakrishnan,INC,39804,2746,131047,89522,68.30%
117,Kottarakkara,GEN,R.Balkrishna Pillai,KEC(B),47433,George Mathew,CPI(M),44054,3379,127999,96613,75.50%
118,Neduvathur,(SC),Ezhukone Narayanan,INC,44940,B.Raghavan,CPI(M),43976,964,134659,97667,72.50%
119,Adoor,GEN,Thiruvanchoor Radhakrishnan,INC,47907,K.N.Balagopal,CPI(M),38706,9201,121152,92207,76.10%
120,Kunnathur,(SC),T. Nanoo,RSP,51697,Visalakshy,INC,46934,4763,155586,113483,72.90%
121,Karunagappally,GEN,E. Chandrasekharan Nair,CPI,49587,Sathjith,JPSS,33237,16350,133989,101706,75.90%
122,Chavara,GEN,Baby John,RSP,53730,K.Karunakaran Pillai,INC,45655,8075,138801,106093,76.40%
123,Kundara,GEN,J. Mercykutty Amma,CPI(M),46322,Alphonsa John,INC,39846,6476,130808,94722,72.40%
124,Quilon,GEN,Babu Divakaran,RSP,45383,Kadavoor Sivadasan,INC,39085,6298,136783,93763,68.50%
125,Eravipuram,GEN,V.P. Ramakrishna Pillai,RSP,53344,A.Yoonus Kunju,IUML,48554,4790,171677,118936,69.30%
126,Chathanoor,GEN,P.Raveendran,CPI,49083,C.V.Padmarajan,INC,46968,2115,155086,109681,70.70%
127,Varkala,GEN,A.Ali Hassan,CPI(M),42093,G.Priyadarsanan,INC,15704,26389,131824,79474,60.30%
128,Attingal,GEN,Anathalavattom Anandan,CPI(M),42161,Vakkom Purushothaman,INC,41145,1016,126378,88827,70.30%
129,Kilimanoor,(SC),Bhargavi Thankappan,CPI,49637,M.Radhakrishnan,INC,40832,8805,159964,102031,63.80%
130,Vamanapuram,GEN,Pirappancode Murali,CPI(M),48491,C.K.Sitaram,JPSS,42105,6386,150522,104528,69.40%
131,Ariyanad,GEN,G.Karthikeyan,INC,45152,K.P.Sankaradas,RSP,36535,8617,133573,94034,70.40%
132,Nedumangad,GEN,Palode Ravi,INC,57220,M.Radhakrishnan,CPI,52956,4264,164525,118925,72.30%
133,Kazhakuttam,GEN,K.Surendran,CPI(M),56425,E.A.Rasheed,IND,32368,24057,168659,108413,64.30%
134,Trivandrum North,GEN,M.Vijayakumar,CPI(M),62479,T.Saratchandra Prasad,INC,48170,14309,187779,121276,64.60%
135,Trivandrum West,GEN,Antony Raju,KEC,38335,M.M.Hassan,INC,31441,6894,145689,86462,59.30%
136,Trivandrum East,GEN,B.Vijaya Kumar,INC,32389,K.Krishna Pillai,ICS,29911,2478,140342,86677,61.80%
137,Nemom,GEN,Venganoor P. Bhaskaran,CPI(M),51139,K.Mohankumar,INC,47543,3596,168220,113509,67.50%
138,Kovalam,GEN,A. Neelalohithadasan N.,JD,57180,George Mascrene,INC,35239,21941,163154,105930,64.90%
139,Neyyattinkara,GEN,Thampanoor Ravi,INC,50924,Charupara Ravi,JD,36500,14424,158515,107523,67.80%
140,Parassala,GEN,N.Sundaran Nadar,IND,36297,W.R.Heeba,CPI(M),31570,4727,153135,99953,65.30%
