Sl No.,Constituency ,Type,Winner ,Party,Winner Vote,Runner,Party,Runner Vote,Margin,Total Electors,Total Votes,Poll%
92,Puthuppally,GEN,Oommen Chandy,INC,40376,P. C. Cherian,BLD,24466,15910,84740,70459,83.10%
93,Poonjar,GEN,V. J. Joseph,KEC,34770,P. I. Devasia,KCP,21065,13705,72592,56683,78.10%
94,Palai,GEN,K. M. Mani,KEC,39664,N. C. Joseph,IND,24807,14857,80757,67165,83.20%
95,Kaduthuruthy,GEN,O. Lukose,KEC,38403,K. K. Joseph,CPM,25652,12751,79643,65539,82.30%
96,Vaikom,(SC),M. K. Kesavan,CPI,39711,K. G. Bhaskaran,CPM,24770,14941,82016,69022,84.20%
97,Aroor,GEN,P. S. Sreenivasan,CPI,39643,K. R. Gouri,CPM,30048,9595,83630,72351,86.50%
98,Sherthala,GEN,M. K. Raghavan,INC,37767,N. P. Thandar,CPM,26007,11760,76539,65197,85.20%
99,Mararikulam,GEN,A. V. Thamarakshan,RSP,39094,P. K. Chandrandan,CPM,34748,4346,93576,79667,85.10%
100,Alleppey,GEN,P. K. Vasudevan Nair,CPI,35301,Joseph Matahn,BLD,25631,9670,81887,63995,78.20%
101,Ambalapuzha,GEN,K. K. Kumara Pillai,RSP,32056,V. S. Achuthanandan,CPM,26471,5585,75233,63387,84.30%
102,Kuttanad,GEN,Eappen Kandakudy,KEC,34161,K.P. Joseph,CPM,27014,7147,79729,66358,83.20%
103,Haripad,GEN,G.P. Mangalathu Madaom,United Front IND,33037,C.B.C. Warrier,CPM,30118,2919,89071,74963,84.20%
104,Kayamkulam,GEN,Thundathie Kunjukrishna Pillai,INC,29742,P.A. Haris P.K. Kunju,BLD,24655,5087,81851,65858,80.50%
105,Thiruvalla,GEN,E. John Jacob,KEC,31548,John Jacob Vallakkalil,KCP,24573,6975,76642,60372,78.80%
106,Kallooppara,GEN,T.S. John,KEC,33967,E.K. Kuriakose,KCP,17173,16794,75579,57850,76.50%
107,Aranmula,GEN,M.K. Hemachandran,INC,35482,P.N. Chandrasenan,IND,21127,14355,76518,60128,78.60%
108,Chengannur,GEN,Thakappan Pillai,United Front IND,33909,K.R. Saraswathi Amma,KCP,27356,6553,81710,65678,80.40%
109,Mavelikara,GEN,Bhaskaran Nair,United front IND,35103,S. Govinda Kurup,CPM,26310,8793,86260,68014,78.80%
110,Pandalam,(SC),Damodaran Kalassery,INC,36938,V. Kesavan,CPM,31764,5174,90481,74526,82.40%
111,Ranni,GEN,K.A. Mathew,KEC,32530,F. Thomas Kuttikayam,KCP,23235,9295,74532,58600,78.60%
112,Pathanamthitta,GEN,George Mathew,KEC,34853,K.K. Nair,IND,30686,4167,82812,66906,80.80%
113,Konni,GEN,P.J. Thomas,INC,30714,R.C. Unnithan,CPM,30277,437,76434,63585,83.20%
114,Pathanapuram,GEN,E.K. Pillai,CPI,30927,A. George,KCP,30136,791,77979,64276,82.40%
115,Punalur,GEN,P.K. Sreenjvasan,CPI,33870,V. Bharathan,CPM,30668,3202,82724,66032,79.80%
116,Chadayamangalam,GEN,Chandrasekharan Nair,CPI,31906,N. Sundaresan,CPM,20219,11687,69540,54060,77.70%
117,Kottarakkara,GEN,R. Balakrishan Pillai,KCP,37253,Kottara Gopalkrishan,INC,23098,14155,72969,62355,85.50%
118,Neduvathur,(SC),Bhargavi Thankappan,CPI,33941,Vettikavala Kochukunju,BLD,22019,11922,75039,60130,80.10%
119,Adoor,GEN,Thennala Balakrishna Pillai,INC,31214,Mathew Muthalali,KCP,23826,7388,71546,59510,83.20%
120,Kunnathur,(SC),Kallada Narayanan,RSP,43347,C.K. Thankappan,CPM,25103,18244,87416,70435,80.60%
121,Karunagappally,GEN,P. M. Sheriff,CPI,29739,C.P. Karunnakaran Pillai,CPM,24255,5484,80296,65655,81.80%
122,Chavara,GEN,Baby John,RSP,36892,A. Noorundin Kunju,IND,17583,19309,76600,62068,81.00%
123,Kundara,GEN,A. A. Rahim,INC,29758,V. V. Joseph,IND,29362,396,74875,61516,82.20%
124,Quilon,GEN,Thyagarajan,RSP,37065,N. Padmalochanan,CPM,24049,13016,86022,64005,74.40%
125,Eravipuram,GEN,R. S. Unni,RSP,39119,R. M. Parameswaran,IND,22666,16453,91442,69312,75.80%
126,Chathanoor,GEN,J. Chitharanjan,CPI,38787,Varinja Vasu Pillai,BLD,20016,18771,86137,65759,76.30%
127,Varkala,GEN,T. A. Majeed,CPI,25210,Shamsuddin,BLD,18991,6219,76923,54410,70.70%
128,Attingal,GEN,Vakkam Purushothaman,INC,32452,Varkala Radhakrishnan,CPM,23892,8560,79079,59321,75.00%
129,Kilimanoor,(SC),P. K. Chathan Master,CPI,32242,C. K. Balakrishnan,CPM,31412,830,87808,66176,75.40%
130,Vamanapuram,GEN,N. Vasudevan Pillai,CPM,31463,M. Kunju Krishnan Pillai,INC,29071,2392,80172,62543,78.00%
131,Ariyanad,GEN,K. C. Vamadevan,RSP,26100,Thakidi Krishanan Nair,BLD,18908,7192,71801,54393,75.80%
132,Nedumangad,GEN,Kaniapuram Ramachandran Nair,CPI,34731,R. Sundaresan Nair,IND,23992,10739,84807,65121,76.80%
133,Kazhakuttam,GEN,Thlaekunnil Basheer,INC,37014,A. Essuddin,MLO,22637,14377,83464,63941,76.60%
134,Trivandrum North,GEN,K. Raveendran Nair,United Front IND,31971,S. Dharmarajan,CPM,25806,6165,88882,64076,72.10%
135,Trivandrum West,GEN,K. Pankajakshan,RSP,31224,S.M. Noohu,BLD,20301,10923,96469,61979,64.20%
136,Trivandrum East,GEN,P. Narayanan Nair,United Front IND,33405,J. Saradamma,CPM,22802,10603,90321,60440,66.90%
137,Nemom,GEN,S. Varadarajan Nair,INC,32063,Pallichal Sadasivan,CPM,25142,6921,83724,64580,77.10%
138,Kovalam,GEN,A. Neellalohithadasan Nadar,Left IND,32549,N. Sakthan,KEC,28435,4114,90589,68973,76.10%
139,Neyyattinkara,GEN,R. Sundaresan Nair,United Front IND,30372,R. Parameswaran,CPM,24678,5694,86096,65274,75.80%
140,Parassala,GEN,M. Kunjukrishnan Nadar,INC,34485,M. Sathyanesan,CPM,21084,13401,85457,63560,74.40%
