S.no,Constituency,Type,Winner,Winner Party,Winner Votes,Runner,Runner Party,Runner Votes,Margin,Total Electors,Total Votes,Poll%
98,Puthuppally,GEN,Oommen Chandy,INC,71597,Jaick C. Thomas,CPI(M),44505,27092,172968,133404,77.10%
99,Changanassery,GEN,C. F. Thomas,KC(M),50371,K. C. Joseph,IND,48522,1849,166784,125222,75.10%
100,Kanjirappally,GEN,N. Jayaraj,KC(M),53126,V. B. Binu,CPI(M),49236,3890,178643,136090,76.20%
101,Poonjar,GEN,P. C. George,IND,63621,Georgekutty Augusty,KC(M),35800,27821,183357,145440,79.30%
102,Aroor,GEN,A. M. Ariff,CPI(M),84720,C. R. Jayaprakash,INC,46201,38519,188450,161139,85.50%
103,Cherthala,GEN,P. Thilothaman,CPI,81197,S. Sarath,INC,74001,7196,204549,176968,86.50%
104,Alappuzha,GEN,T. M. Thomas Issac,CPI(M),83219,Laly Vincent,INC,52719,31032,193148,155294,80.40%
105,Ambalappuzha,GEN,G. Sudhakaran,CPI(M),63069,Shaik P. Harriz,JD(U),40448,22621,168306,132667,78.80%
106,Kuttanad,GEN,Thomas Chandy,NCP,50114,Jacob Abraham,KC(M),45223,4891,163744,129736,79.20%
107,Haripad,GEN,Ramesh Chennithala,INC,75980,P. Prasad,CPI,57359,18621,184368,148511,80.60%
108,Kayamkulam,GEN,U. Prathibha Hari,CPI(M),72956,M. Liju,INC,61099,11757,199516,156348,78.40%
109,Mavelikara (SC),SC,R. Rajesh,CPI(M),74455,Baiju Kalasala,INC,43013,31542,195581,149165,76.30%
110,Chengannur,GEN,K. K. Ramachandran Nair,CPI(M),52880,P. C. Vishnunath,INC,44897,7983,195493,145155,74.30%
111,Thiruvalla,GEN,Mathew T. Thomas,JD(S),59660,Joseph M. Puthussery,KC(M),51398,8462,207825,144063,69.30%
112,Ranni,GEN,Raju Abrham,CPI(M),58749,Mariamma Cherian,INC,44153,14596,189610,133489,70.40%
113,Aranmula,GEN,Veena George,CPI(M),64523,K. Sivadasan Nair,INC,56877,7646,226324,160863,71.10%
114,Konni,GEN,Adoor Prakash,INC,72800,R. Sanal Kumar,CPI(M),52052,20748,194721,142809,73.30%
115,Adoor (SC),SC,Chittayam Gopakumar,CPI,76034,K. K. Shaju,INC,50574,25460,206692,154346,74.70%
116,Karunagappally,GEN,R. Ramachandran,CPI,69902,C. R. Mahesh,INC,68143,1759,203244,161761,79.60%
117,Chavara,GEN,N. Vijayan Pillai,CMP(A),64666,Shibu Baby John,RSP,58477,8189,175280,137519,78.50%
118,Kunnathur (SC),SC,Kovoor Kunjumon,IND,75725,Ullas Kovur,RSP,55196,20529,207296,158757,76.60%
119,Kottarakkara,GEN,P. Aisha Potty,CPI(M),83443,Savin Sathyan,INC,40811,42632,198762,149771,75.40%
